American Community Survey (ACS) Data Time Period,Borough,Borough Community District Code,Community District Name,Language,LEP Population (Estimate),% of LEP Population,CVALEP Population (Estimate),% of CVALEP Population
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Afrikaans,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Akan (incl. Twi),0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Albanian,7,0.2,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Aleut languages,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Amharic,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Apache languages,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Arabic,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Armenian,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Assyrian Neo-Aramaic,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Bengali,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Bosnian,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Bulgarian,68,2.2,31,1.7
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Burmese,19,0.6,19,1.1
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Cajun French,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Cebuano,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Chaldean Neo-Aramaic,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Chamorro,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Cherokee,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Chin languages,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca","Chinese (incl. Mandarin, Cantonese)",1946,62.1,1150,64.6
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Chuukese,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Croatian,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Czech,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Dakota languages,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Danish,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Dari,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Dutch,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Edoid languages,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Farsi,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Filipino,14,0.4,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Finnish,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",French,55,1.8,28,1.6
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Fulah,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Ga,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Ganda,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Gbe languages,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Georgian,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",German,10,0.3,10,0.6
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Greek,11,0.4,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Gujarati,12,0.4,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Haitian,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Hausa,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Hawaiian,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Hebrew,11,0.4,11,0.6
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Hindi,32,1,1,0.1
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Hmong,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Hungarian,10,0.3,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Igbo,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Ilocano,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",India N.E.C.,10,0.3,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Indonesian,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Irish,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Italian,96,3.1,75,4.2
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Iu Mien,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Jamaican Creole English,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Japanese,146,4.7,16,0.9
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Kabuverdianu,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Kannada,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Karen languages,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Keres,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Khmer,8,0.3,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Kinyarwanda,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Kiowa-Tanoan languages (2016 or earlier),0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Konkani,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Korean,18,0.6,10,0.6
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Kru languages,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Kurdish,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Lao,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Latvian,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Lithuanian,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Macedonian,9,0.3,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Malay,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Malayalam,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Manding languages,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Marathi,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Marshallese,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Min Nan Chinese,27,0.9,27,1.5
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Mongolian,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Muskogean languages,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Navajo,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Nepali,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Nilo-Saharan languages,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Norwegian,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Ojibwa,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Oromo,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Other Afro-Asiatic languages,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Other Bantu languages,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Other Central and South American languages,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Other Eastern Malayo-Polynesian languages,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Other English-based Creole languages,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Other Indo-European languages,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Other Indo-Iranian languages,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Other Mande languages,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Other Native North American languages,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Other Niger-Congo languages,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Other Philippine languages,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Other and unspecified languages,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Other languages of Africa,6,0.2,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Other languages of Asia,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Pakistan N.E.C.,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Pashto,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Pennsylvania German,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Polish,17,0.5,17,1
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Portuguese,43,1.4,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Punjabi,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Romanian,33,1.1,29,1.6
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Russian,153,4.9,136,7.6
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Samoan,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Serbian,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Serbocroatian,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Shona,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Sindhi,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Sinhala,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Slovak,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Somali,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Spanish,304,9.7,174,9.8
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Swahili,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Swedish,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Swiss German,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Tagalog,10,0.3,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Tamil,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Telugu,7,0.2,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Thai,17,0.5,17,1
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Tibetan,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Tigrinya,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Tongan,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Turkish,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Ukrainian,7,0.2,7,0.4
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Urdu,11,0.4,11,0.6
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Uto-Aztecan languages,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Uzbek,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Vietnamese,19,0.6,10,0.6
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Wolof,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Yiddish,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Yoruba,0,0,0,0
2015-2019,Manhattan,101,"Battery Park City, Tribeca",Zuni (2016 or earlier),0,0,0,0
2015-2019,Manhattan,102,"Greenwich Village, Soho",Afrikaans,0,0,0,0
2015-2019,Manhattan,102,"Greenwich Village, Soho",Akan (incl. Twi),0,0,0,0
2015-2019,Manhattan,102,"Greenwich Village, Soho",Albanian,10,0.2,0,0
2015-2019,Manhattan,102,"Greenwich Village, Soho",Aleut languages,0,0,0,0
2015-2019,Manhattan,102,"Greenwich Village, Soho",Amharic,0,0,0,0
2015-2019,Manhattan,102,"Greenwich Village, Soho",Apache languages,0,0,0,0
2015-2019,Manhattan,102,"Greenwich Village, Soho",Arabic,0,0,0,0
2015-2019,Manhattan,102,"Greenwich Village, Soho",Armenian,0,0,0,0
2015-2019,Manhattan,102,"Greenwich Village, Soho",Assyrian Neo-Aramaic,0,0,0,0
2015-2019,Manhattan,102,"Greenwich Village, Soho",Bengali,0,0,0,0
2015-2019,Manhattan,102,"Greenwich Village, Soho",Bosnian,0,0,0,0
2015-2019,Manhattan,102,"Greenwich Village, Soho",Bulgarian,100,2.2,47,1.8
2015-2019,Manhattan,102,"Greenwich Village, Soho",Burmese,29,0.6,29,1.1
2015-2019,Manhattan,102,"Greenwich Village, Soho",Cajun French,0,0,0,0
2015-2019,Manhattan,102,"Greenwich Village, Soho",Cebuano,0,0,0,0
2015-2019,Manhattan,102,"Greenwich Village, Soho",Chaldean Neo-Aramaic,0,0,0,0
